rssd9001,quarter_end,n_loans,total_amount,mean_spread
233031,2010-03-31,6,183.5410,340.3000
233031,2010-06-30,22,642.7192,312.4013
233031,2010-09-30,23,670.5210,312.5000
233031,2010-12-31,20,686.9830,322.4821
233031,2011-03-31,13,481.6862,296.0000
233031,2011-06-30,18,646.5925,303.4259
233031,2011-09-30,16,716.6125,266.0372
233031,2011-12-31,33,1152.4435,233.0340
233031,2012-03-31,36,1099.6768,262.8419
233031,2012-06-30,17,543.8337,262.3831
233031,2012-09-30,28,769.8312,269.9821
233031,2012-12-31,27,785.8175,271.8079
233031,2013-03-31,21,786.0645,252.0437
233031,2013-06-30,34,1148.1519,249.5029
233031,2013-09-30,43,1477.1591,235.3322
233031,2013-12-31,22,802.6885,233.0809
233031,2014-03-31,19,630.0435,236.5876
233031,2014-06-30,25,923.4759,216.4833
233031,2014-09-30,25,915.0593,239.5440
233031,2014-12-31,28,809.7335,221.1755
233031,2015-03-31,36,1370.8027,240.1241
233031,2015-06-30,33,1238.6011,215.7374
233031,2015-09-30,35,1544.6673,227.3994
233031,2015-12-31,44,1689.9847,235.0667
233031,2016-03-31,29,1028.9832,257.7536
233031,2016-06-30,18,397.6742,247.1799
233031,2016-09-30,9,585.1680,251.1581
233031,2016-12-31,18,506.0019,250.1609
233031,2017-03-31,8,370.5385,272.8333
233031,2017-06-30,12,449.4932,236.7486
233031,2017-09-30,8,362.5210,218.3589
233031,2017-12-31,4,164.8320,239.0432
233031,2018-03-31,3,294.9000,245.4444
233031,2018-06-30,2,204.8750,244.7455
233031,2018-09-30,2,143.0350,210.4966
233031,2018-12-31,5,280.1440,202.5402
233031,2019-03-31,1,80.0100,211.3036
233031,2019-06-30,4,135.0200,233.5714
233031,2019-09-30,4,135.0000,222.5191
233031,2019-12-31,14,619.1580,216.4643
233031,2020-03-31,6,367.9900,195.0216
233031,2020-06-30,4,146.9900,249.3200
233031,2020-09-30,1,84.9750,281.7067
233031,2020-12-31,3,211.2600,262.8510
233031,2021-03-31,6,403.1200,218.3105
233031,2021-06-30,25,1120.8817,204.0330
233031,2021-09-30,7,518.2600,206.8848
233031,2021-12-31,3,115.0000,216.9724
233031,2022-03-31,6,822.2750,221.7219
233031,2022-06-30,7,317.4279,201.0619
233031,2022-09-30,9,538.9250,190.4712
233031,2022-12-31,7,609.4350,231.3946
233031,2023-03-31,5,340.0150,204.4510
233031,2023-06-30,6,201.0449,222.2237
233031,2023-09-30,2,235.8650,239.9231
233031,2023-12-31,6,149.5100,236.2821
233031,2024-03-31,2,181.0000,252.6605
233031,2024-06-30,12,571.8540,222.2853
233031,2024-09-30,27,1897.3437,209.1588
233031,2024-12-31,29,1564.4343,230.6229
233031,2025-03-31,38,2184.8250,209.9376
233031,2025-06-30,48,2784.5999,200.2551
233031,2025-09-30,32,2244.6141,218.9535
233031,2025-12-31,22,1488.0985,192.4773
266271,2010-06-30,2,42.6000,250.0000
266271,2010-09-30,1,30.0000,300.0000
266271,2012-06-30,0,0.0000,300.0000
266271,2012-09-30,0,0.0000,250.0000
266271,2013-03-31,0,0.0000,
266271,2013-06-30,0,0.0000,200.0000
266271,2013-09-30,0,0.0000,
266271,2013-12-31,0,0.0000,
266271,2014-06-30,2,20.0000,
266271,2014-09-30,0,0.0000,
266271,2015-03-31,1,4.9998,
266271,2015-09-30,0,0.0000,200.0000
266271,2015-12-31,1,8.0000,275.0000
266271,2016-06-30,0,0.0000,425.0000
266271,2016-09-30,0,0.0000,200.0000
266271,2016-12-31,0,0.0000,312.5000
266271,2017-09-30,0,0.0000,230.0000
266271,2017-12-31,0,0.0000,
266271,2018-03-31,0,0.0000,
266271,2018-06-30,0,0.0000,
266271,2018-09-30,0,0.0000,
266271,2018-12-31,0,0.0000,190.0000
266271,2019-03-31,0,0.0000,160.0000
266271,2019-06-30,0,0.0000,
266271,2019-09-30,0,0.0000,
266271,2019-12-31,0,0.0000,
266271,2020-03-31,0,0.0000,
266271,2020-06-30,0,0.0000,
266271,2020-09-30,0,0.0000,265.0000
266271,2020-12-31,0,0.0000,208.7500
266271,2021-03-31,0,0.0000,200.0000
266271,2021-06-30,0,0.0000,237.5000
266271,2021-09-30,0,0.0000,
266271,2022-03-31,0,0.0000,
266271,2022-06-30,0,0.0000,
272218,2023-09-30,0,0.0000,
272218,2023-12-31,0,0.0000,425.0000
272218,2024-03-31,0,0.0000,600.0000
272218,2024-09-30,0,0.0000,483.3333
272218,2024-12-31,0,0.0000,
272218,2025-06-30,0,0.0000,483.3333
272218,2025-09-30,0,0.0000,
272218,2025-12-31,0,0.0000,225.0000
311845,2010-03-31,1,24.0000,425.0000
311845,2010-09-30,0,0.0000,
311845,2010-12-31,0,0.0000,275.0000
311845,2011-06-30,0,0.0000,175.0000
311845,2011-09-30,1,25.0200,285.0000
311845,2011-12-31,0,0.0000,275.0000
311845,2012-03-31,1,9.9900,283.3333
311845,2012-09-30,0,0.0000,162.5000
311845,2013-06-30,0,0.0000,
311845,2013-09-30,1,14.9990,
311845,2013-12-31,0,0.0000,87.5000
311845,2014-03-31,1,14.9875,140.0000
311845,2014-09-30,2,19.9500,134.3750
311845,2014-12-31,0,0.0000,112.5000
311845,2015-03-31,0,0.0000,118.7500
311845,2015-06-30,1,19.9850,160.0000
311845,2015-12-31,1,22.5080,425.0000
311845,2016-03-31,0,0.0000,137.5000
311845,2016-06-30,0,0.0000,146.5000
311845,2017-06-30,0,0.0000,125.0000
311845,2017-09-30,0,0.0000,221.6667
311845,2017-12-31,0,0.0000,147.6667
311845,2018-03-31,0,0.0000,125.0000
311845,2018-06-30,0,0.0000,187.5000
311845,2018-09-30,0,0.0000,175.0000
311845,2018-12-31,0,0.0000,217.5300
311845,2019-03-31,2,25.0250,190.0000
311845,2019-06-30,1,9.9750,366.6667
311845,2019-09-30,0,0.0000,387.5000
311845,2019-12-31,0,0.0000,277.5000
311845,2020-03-31,1,24.9900,180.0000
311845,2020-06-30,0,0.0000,284.3750
311845,2020-09-30,0,0.0000,370.0000
311845,2020-12-31,0,0.0000,418.7500
311845,2021-03-31,0,0.0000,355.5000
311845,2021-06-30,0,0.0000,300.0000
311845,2021-09-30,1,45.0000,266.9444
311845,2021-12-31,0,0.0000,370.8333
311845,2022-03-31,0,0.0000,318.1250
311845,2022-06-30,1,50.0000,263.1667
311845,2022-09-30,3,69.9000,248.1250
311845,2022-12-31,0,0.0000,299.1667
311845,2023-03-31,0,0.0000,268.7500
311845,2023-06-30,0,0.0000,356.2500
311845,2023-09-30,0,0.0000,185.0000
311845,2023-12-31,0,0.0000,374.5000
311845,2024-03-31,1,50.0000,110.0000
311845,2024-06-30,0,0.0000,262.5000
311845,2024-09-30,2,59.9900,236.2500
311845,2024-12-31,0,0.0000,295.0000
311845,2025-03-31,1,69.9470,233.7500
311845,2025-06-30,1,25.0250,221.9286
311845,2025-09-30,1,40.0000,125.0000
311845,2025-12-31,0,0.0000,206.2500
342634,2010-03-31,0,0.0000,333.3333
342634,2010-06-30,0,0.0000,275.0000
342634,2010-12-31,2,10.0125,284.3750
342634,2011-03-31,1,14.0030,325.0000
342634,2011-06-30,0,0.0000,175.0000
342634,2011-09-30,1,15.0350,202.0000
342634,2011-12-31,0,0.0000,250.0000
342634,2012-03-31,2,15.0070,245.0000
342634,2012-06-30,0,0.0000,275.0000
342634,2012-09-30,2,35.0000,168.7500
342634,2012-12-31,0,0.0000,206.6667
342634,2013-03-31,1,18.0000,150.0000
342634,2013-06-30,0,0.0000,350.0000
342634,2013-12-31,1,30.0000,200.0000
342634,2014-03-31,0,0.0000,270.0000
342634,2014-06-30,0,0.0000,225.0000
342634,2014-09-30,1,17.6083,205.0000
342634,2014-12-31,0,0.0000,263.7500
342634,2015-03-31,0,0.0000,308.3333
342634,2015-06-30,2,43.0000,140.8333
342634,2015-09-30,5,72.0185,206.3889
342634,2015-12-31,5,50.0161,274.4231
342634,2016-03-31,4,22.0055,296.7857
342634,2016-06-30,2,20.0015,271.7500
342634,2016-09-30,1,13.9594,238.3333
342634,2016-12-31,1,15.0025,227.5000
342634,2017-03-31,0,0.0000,260.7143
342634,2017-06-30,1,37.5300,233.2143
342634,2017-09-30,1,18.0000,341.6667
342634,2017-12-31,0,0.0000,231.2500
342634,2018-03-31,0,0.0000,256.0417
342634,2018-06-30,0,0.0000,248.9583
342634,2018-09-30,0,0.0000,225.0000
342634,2018-12-31,0,0.0000,232.9167
342634,2019-03-31,0,0.0000,235.6250
342634,2019-06-30,1,7.5000,183.5714
342634,2019-09-30,0,0.0000,193.3333
342634,2019-12-31,0,0.0000,224.3750
342634,2020-03-31,0,0.0000,250.8333
342634,2020-06-30,0,0.0000,233.3333
342634,2020-09-30,0,0.0000,236.6667
342634,2020-12-31,0,0.0000,271.8750
342634,2021-03-31,0,0.0000,224.0000
342634,2021-06-30,0,0.0000,307.7778
342634,2021-09-30,0,0.0000,189.5000
342634,2021-12-31,0,0.0000,189.0000
342634,2022-03-31,0,0.0000,347.5000
342634,2022-06-30,0,0.0000,237.5000
342634,2022-09-30,0,0.0000,278.5294
342634,2022-12-31,0,0.0000,232.3333
342634,2023-03-31,0,0.0000,342.0000
342634,2023-06-30,0,0.0000,252.5000
